Postal code,District,Appartments,Type of Building,m2,Debtfree price,€/m2,Construction year,Floor,Elevator,Condition,Plot,Energy class
'00100,Studio apartment,,,,,,,,,,,
",F2013
'00100,Etu-töölö,"1h, avok, las. p",kt,"47,00",369000,7851,2014,1/7,no,good,"own							
",
'00100,Etu-töölö,"1h, k, kph, alkovi",kt,"49,50",355000,7172,1928,4/7,yes,good,"own							
",
'00100,Etu-töölö,1h.kk,kt,"24,30",197000,8107,1936,5/6,no,average,"own							
",
'00100,Kamppi,1 h+avok+alkovi...,kt,"36,00",282000,7833,1936,6/6,yes,average,"own							E2018
",E2018
'00100,"
2 rooms
",,,,,,,,,,,
'00100,Töölö,"2h,k,kh",kt,"74,00",516600,6981,1926,5/6,yes,average,"own							D2007
",D2007
'00100,Kluuvi,2-3 h + kt + s,kt,"84,00",1215000,14464,2014,4/6,yes, ,"own							C2007
",C2007
'00100,Kluuvi,2 - 3 h + kt + s,kt,"84,00",1315000,15655,2014,4/6,yes, ,"rent							C2007
",C2007
'00100,Etu-töölö,2h+kk,kt,"53,50",428000,8000,1931,7/7,yes,average,"own							F2013
",F2013
'00100,Kamppi,"2h, avok, kph/wc",kt,"50,00",460000,9200,1905,4/5,yes,average,"own							F
",F
'00100,Etu-töölö,"2h, k, kph, eri...",kt,"66,00",592000,8970,1922,6/6,yes,good,"own							G2013
",G2013
'00100,Etu-töölö,"2h, kk, kph (yh...",kt,"48,50",403000,8309,1926,4/6,yes,average,"own							F2007
",F2007
'00100,Etu-töölö,2H+K,kt,"66,00",520000,7879,1927,3/7,yes, ,"own							F2018
",F2018
'00100,Etu-töölö,"2h, k, kh",kt,"52,00",470600,9050,1913,4/4,yes,good,"own							G2013
",G2013
'00100,Töölö,"2h, k, kph, s",kt,"57,50",415000,7217,1930,6/8,yes,average,"own							F2013
",F2013
'00100,Etu-töölö,2h+k,kt,"58,50",521000,8906,1928,7/7,yes,good,"own							D2013
",D2013
'00100,Kluuvi,"2h, k, vh, kph, wc",kt,"46,40",430000,9267,1922,4/6,yes,good,"own							D2007
",D2007
'00100,Etu-töölö,"2h, avok, kph, ...",kt,"42,50",380000,8941,1935,5/6,yes,good,"own							
",
'00100,Kluuvi,"2 h, avok, kph,...",kt,"77,50",630000,8129,1922,5/5,yes,good,"own							D2007
",D2007
'00100,Etu-töölö,"2 h, kk, kph, e...",kt,"58,50",410000,7009,1928,1/6,yes,good,"own							D2007
",D2007
'00100,Etu-töölö,"2 h, k, kph, wc",kt,"70,90",399000,5628,1924,3/6,no,average,"own							D2007
",D2007
'00100,Keskusta,"2h, k, kph",kt,"55,50",408000,7351,1908,4/5,no,average,"own							B
",B
'00100,Kamppi,"2h, k, kph, hal...",kt,"73,50",550000,7483,1928,3/6,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,2h+k+kph (Yj. 2...,kt,"61,00",355000,5820,1922,1/7,yes,average,"own							D
",D
'00100,Kamppi,2h+kt+kh,kt,"50,00",350000,7000,1929,3/5,yes,average,"own							G2013
",G2013
'00100,Kamppi,2h+k+s,kt,"46,00",580000,12609,2005,5/6,yes,good,"own							D2007
",D2007
'00100,Kamppi,2h+kt+kh,kt,"48,50",360000,7423,1929,3/5,yes,average,"own							G2013
",G2013
'00100,Kamppi,"2h, k, kph",kt,"43,50",392000,9011,1932,5/7,yes,good,"own							D2013
",D2013
'00100,Etu-töölö,"2h, kt, erill. ...",kt,"43,00",358000,8326,1922,1/6,yes,good,"own							F2013
",F2013
'00100,"
2 rooms
",,,,,,,,,,,
'00100,Kamppi,"2h, k, kph, s, ...",kt,"63,50",414000,6520,1988,8/8,yes,average,"rent							C2007
",C2007
'00100,Kamppi,"2, k, alkovi, k...",kt,"58,00",475000,8190,1929,2/5,yes,good,"own							
",
'00100,Etu-töölö,2h+k+työti...,kt,"83,00",715000,8614,1929,8/8,yes,good,"own							F
",F
'00100,Etu-töölö,"1h, viherhuone,...",kt,"69,50",694000,9986,2014,7/7,yes,good,"own							A2007
",A2007
'00100,Etu-töölö,2 h + k +alkovi,kt,"72,00",525000,7292,1912,2/5,yes,average,"own							G2013
",G2013
'00100,Kamppi,2h+k+s,kt,"56,50",325000,5752,1914,5/6,yes,average,"own							G2013
",G2013
'00100,Keskusta,"2h, k",kt,"69,60",680000,9770,1905,4/6,yes,average,"own							
",
'00100,Etu-töölö,"2h, k, kph, vh",kt,"53,00",325000,6132,1928,4/7,yes,good,"own							D2012
",D2012
'00100,Etu-töölö,"2 h, avok, kh",kt,"43,00",350000,8140,1914,3/5,no,good,"own							G2013
",G2013
'00100,Etu-töölö,"2 h, avok, kh, wc",kt,"49,50",360000,7273,1927,3/7,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"2 h, k, kph",kt,"86,00",685000,7965,1914,4/6,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"2-3h, avokeitti...",kt,"68,60",520000,7580,1928,3/7,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"2 h, k, kph",kt,"69,10",530000,7670,1912,5/5,yes,good,"own							G2013
",G2013
'00100,Etu-töölö,"2h, kk, kph, al...",kt,"56,50",410000,7257,1920,2/6,yes,average,"own							F2013
",F2013
'00100,Töölö,"2h, k, eteisaul...",kt,"47,00",384000,8170,1926,6/6,no,good,"own							
",
'00100,Kluuvi,2h+avok,kt,"50,50",486500,9634,2012,5/8,no,good,"own							
",
'00100,Etu-töölö,"2h, kk, erillin...",kt,"46,50",320000,6882,1927,6/7,no,good,"own							
",
'00100,Etu-töölö,"2h, alkovi, kk,...",kt,"62,00",339000,5468,1934,1/7,yes,average,"own							D
",D
'00100,Kamppi,"2h,kk, kph",kt,"49,00",273000,5571,1974,1/6,yes,average,"own							E2013
",E2013
'00100,Etu-töölö,"2 h, k, vh, kh",kt,"67,00",469423,7006,1922,4/6,yes,good,"own							G2013
",G2013
'00100,Etu-töölö,2h+k+s+parvi (Y...,kt,"87,00",620000,7126,1929,8/8,no,good,"own							
",
'00100,Etu-töölö,2h+k,kt,"49,00",374000,7633,1926,5/6,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"1h, k, alkovi, kph",kt,"61,40",366000,5961,1925,1/6,no, ,"own							
",
'00100,Hakaniemi,2h+kk+kph+eteinen,kt,"36,50",287000,7863,1928,4/7,yes,poor,"own							G2013
",G2013
'00100,3 rooms,,,,,,,,,,,
'00100,Etu-töölö,"3h, k, ph, hall...",kt,"119,00",765000,6429,1924,3/7,yes,average,"own							F2013
",F2013
'00100,Etu-töölö,3h+k+kph+halli,kt,"96,00",600000,6250,1925,5/6,yes,poor,"own							D2007
",D2007
'00100,Etu-töölö,3h+k+halli+kph,kt,"91,00",648000,7121,1935,4/6,yes,average,"own							F2013
",F2013
'00100,Etu-töölö,3h + avok + kph...,kt,"69,40",560000,8069,1925,1/7,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,3h+k+kph+erilli...,kt,"83,40",530000,6355,1927,2/7,yes,average,"own							F2013
",F2013
'00100,Kamppi,3h+k+s,kt,"81,50",560000,6871,1988,7/8,yes,good,"rent							E2013
",E2013
'00100,Etu-töölö,3-4h+k+kph+s+er...,kt,"117,00",810000,6923,1926,3/6,no,good,"own							D2007
",D2007
'00100,Kamppi,"3h, k, s, parv.",kt,"56,00",446000,7964,1914,6/6,yes,average,"own							G2013
",G2013
'00100,Kluuvi,"2-3 h, avok, kp...",kt,"95,00",770000,8105,1907,5/5,yes,good,"own							D2007
",D2007
'00100,Helsinki,3h+k+s+parv.+ta...,kt,"68,00",612000,9000,1914,6/6,yes,average,"own							G2013
",G2013
'00100,Etu-töölö,3h+k+kph+wc (yh...,kt,"95,00",655000,6895,1924,6/6,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"3h, k, kph, var...",kt,"82,00",634000,7732,2014,1/7,yes,good,"own							A2007
",A2007
'00100,Etu-töölö,3h+k (Yj.2h+k+p...,kt,"88,50",720000,8136,1925,5/6,yes,good,"own							
",
'00100,Kamppi,"3h, k, kph, wc,...",kt,"141,00",1032000,7319,1882,3/4,yes,good,"own							E2018
",E2018
'00100,Etu-töölö,"3h, k, kph",kt,"99,20",725000,7308,1924,5/6,yes,average,"own							G2013
",G2013
'00100,Etu-töölö,3h+kk,kt,"69,00",475000,6884,1931,2/7,yes,average,"own							F
",F
'00100,Kamppi,"3h, avok, kph, ...",kt,"74,50",645000,8658,1974,5/6,yes,good,"own							E2013
",E2013
'00100,Kamppi,"3h, k, kph ja wc",kt,"118,00",1024000,8678,1882,4/4,yes,good,"own							C2018
",C2018
'00100,Kamppi,"3h, k, kph ja wc",kt,"105,50",897000,8502,1882,3/4,no,good,"own							E2018
",E2018
'00100,Etu-töölö,"3h, halli, k, k...",kt,"116,00",750000,6466,1928,3/6,yes,average,"own							E2013
",E2013
'00100,Etu-töölö,3h+avok+kph,kt,"59,00",505000,8559,1928,5/6,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,3h+k,kt,"122,00",840000,6885,1924,4/6,yes,good,"own							D2007
",D2007
'00100,Etu-töölö,"3h, avok, kph, ...",kt,"102,00",730000,7157,2009,6/8,yes,good,"own							F2013
",F2013
'00100,Kamppi,3h+k+kph/sauna+...,kt,"83,00",550000,6627,1988,4/8,yes,good,"rent							E2013
",E2013
'00100,Etu-töölö,"3 h, k, halli, ...",kt,"119,00",820000,6891,1923,6/6,yes,average,"own							F2013
",F2013
'00100,Etu-töölö,3h+k+2kph,kt,"100,50",675000,6716,1912,2/5,no,average,"own							
",
'00100,Etu-töölö,3h+keittiö...,kt,"66,00",585000,8864,1927,4/7,yes,good,"own							F2018
",F2018
'00100,Etu-töölö,"3h, avok, kph/s...",kt,"111,20",1000000,8993,1926,5/6,yes,good,"own							F2013
",F2013
'00100,3 rooms,,,,,,,,,,,
'00100,Etu-töölö,2h+k,kt,"63,00",485000,7698,1926,1/6,yes,good,"own							F2013
",F2013
'00100,Kamppi,3h+k+s,kt,"72,00",740000,10278,2005,7/9,yes,good,"own							D2007
",D2007
'00100,Etu-töölö,"3h, avok, 2wc, ...",kt,"99,50",710000,7136,1928,2/6,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"3 H, avok, kh, ...",kt,"66,30",474000,7149,1911,2/5,no,good,"own							E2018
",E2018
'00100,4 rooms or more,,,,,,,,,,,
'00100,Töölö,4h+k+kh+halli,kt,"137,00",960000,7007,1927,5/6,yes,good,"own							D2007
",D2007
'00100,Etu-töölö,"4h ,k",kt,"96,80",790000,8161,1926,2/5,yes,good,"own							
",
'00100,Kamppi,"4h, k, rt, kph,...",kt,"117,50",710000,6043,1988,4/8,yes,good,"rent							E2007
",E2007
'00100,Kamppi,6h+k+kph+wc+sauna,kt,"173,00",1290000,7457,1924,3/5,yes,average,"own							F2013
",F2013
'00100,Kamppi,"4h, k, s, 2x pa...",kt,"90,50",590000,6519,1988,7/7,yes,good,"rent							C2013
",C2013
'00100,Etu-töölö,"4 huonetta, hal...",kt,"117,00",597000,5103,1928,5/7,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"4 h, k, halli, ...",kt,"130,00",950000,7308,1911,2/5,no,average,"own							F2013
",F2013
'00100,Etu-töölö,5-6h+k+2xkph/wc...,kt,"280,00",1400000,5000,1926,3/6,yes,good,"own							G
",G
'00100,Etu-töölö,"4h, k, kh, 2 x ...",kt,"125,00",1055000,8440,1910,2/6,yes,average,"own							F2013
",F2013
'00100,Kamppi,4h+k+halli+2et+...,kt,"105,00",665000,6333,1929,4/5,yes,average,"own							G2013
",G2013
'00100,Etu-töölö,"5h, halli, keit...",kt,"187,00",1270000,6791,1927,3/6,no,good,"own							D2007
",D2007
'00100,Kluuvi,"4 h, k, s, wc, p",kt,"146,00",1300989,8911,1913,3/6,yes,good,"own							E2007
",E2007
'00100,Etu-töölö,"5h, k",kt,"184,00",1200000,6522,1928,6/6,no,average,"own							F2013
",F2013
'00100,Etu-töölö,"3-4 h, avokeitt...",kt,"121,00",930000,7686,1924,6/6,yes,good,"own							D2007
",D2007
'00100,Etu-töölö,4h+k+kph+khh+er...,kt,"108,50",660000,6083,1927,4/7,yes,average,"own							
",
'00100,Etu-töölö,"5h, avok, kph, ...",kt,"112,00",849000,7580,2015,2/6,yes,good,"own							C2003
",C2003
'00100,Etu-töölö,5-6h+avok+kph+w...,kt,"145,50",1400000,9622,1910,5/5,no,good,"own							
",
'00100,Etu-töölö,"4h, k, vh, kph,...",kt,"114,50",755000,6594,1926,3/6,yes,average,"own							D
",D
'00100,Etu-töölö,"4 h, k, kph, s,...",kt,"130,30",845000,6485,1920,6/6,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,4h+k+ph+ha+2kph...,kt,"170,00",1470000,8647,1933,7/8,yes,good,"own							E2013
",E2013
'00100,Kamppi,4-5h+k+kph/khh+...,kt,"168,00",1230000,7321,1924,5/5,yes,good,"own							F2013
",F2013
'00100,Etu-töölö,"5h, k, 2 kph, w...",kt,"178,20",990000,5556,1924,6/6,yes,average,"own							B2007
",B2007
'00100,Etu-töölö,"4h,k,kph,3 x wc",kt,"159,40",831000,5213,1928,6/7,yes,poor,"own							F2013
",F2013
'00100,Etu-töölö,"5h, avok, kph/w...",kt,"163,00",1180000,7239,1925,2/6,yes,good,"own							C2018
",C2018
'00120,Studio apartment,,,,,,,,,,,
'00120,Punavuori,"1h, kk, kph",kt,"27,00",282000,10444,1903,3/3,yes,good,"own							G2013
",G2013
'00120,Punavuori,"1h, kt, kph",kt,"24,00",299000,12458,2017,4/7,yes,good,"own							E2013
",E2013
'00120,Kamppi,"1h, avokeitti&#...",kt,"23,50",339000,14426,1890,2/6,yes,good,"own							
",
'00120,Punavuori,"1h, ks, wc",kt,"23,00",203000,8826,1927,2/5,yes,average,"own							E2018
",E2018
'00120,Punavuori,1h+k+sh ,kt,"52,00",290000,5577,1930,1/5,yes,average,"own							D2007
",D2007
'00120,Punavuori,1 h + kk + kph ...,kt,"41,00",340250,8299,2001,6/8,yes,average,"own							E2007
",E2007
'00120,Punavuori,"1h, alk, k, kph",kt,"42,00",360000,8571,1914,2/5,no,good,"own							
",
'00120,Kamppi,"1h, avok, kph, ...",kt,"26,00",265000,10192,1898,3/4,no,good,"own							
",
'00120,Kamppi,1h,kt,"32,00",280000,8750,1905,1/2,no,poor,"own							G2013
",G2013
'00120,Punavuori,1 h + kk + kph ...,kt,"31,50",255528,8112,1962,4/5,yes,average,"own							F2013
",F2013
'00120,Punavuori,1h+kk,kt,"19,00",178000,9368,1925,5/5,no,average,"own							
",
'00120,Punavuori,"1 H, KK, KPH, V...",kt,"28,00",246100,8789,1962,6/6,no,average,"own							
",
'00120,"
2 rooms
",,,,,,,,,,,
'00120,Punavuori,"2h, k, kph, s, ...",kt,"65,50",484000,7389,2000,4/9,yes,average,"own							E2007
",E2007
'00120,Punavuori,"1h, avok, alkov...",kt,"62,50",475000,7600,1937,3/5,yes,good,"own							C2018
",C2018
'00120,Kamppi,"2-3h, avok, kph...",kt,"79,00",700000,8861,1892,2/4,yes,good,"own							D2007
",D2007
'00120,Punavuori,"2h, kk, kph, vh",kt,"39,00",308000,7897,1963,4/4,no,average,"own							G2013
",G2013
'00120,Punavuori,"2h, alkovi, k, ...",kt,"78,00",628000,8051,1907,3/4,no,good,"own							D2018
",D2018
'00120,Punavuori,"2h, kk, kph, pa...",kt,"38,00",350000,9211,1963,6/6,yes,poor,"own							G2013
",G2013
'00120,Kamppi,2h+k+s,kt,"65,00",489000,7523,1927,2/6,yes,good,"own							C2007
",C2007
'00120,Punavuori,"2h,kk,kph",kt,"35,00",355000,10143,1939,5/5,yes,good,"own							E2007
",E2007
'00120,Punavuori,"2h, k, kph",kt,"46,00",340000,7391,1938,1/7,yes,good,"own							E2007
",E2007
'00120,Punavuori,"2h, k",kt,"46,00",345000,7500,1961,4/5,yes,good,"own							E2007
",E2007
'00120,Kamppi,"2h, k, kph, vh",kt,"80,00",560000,7000,1914,4/4,yes,good,"own							
",
'00120,Punavuori,"2h, avok, kph, s",kt,"46,90",360000,7676,1912,2/3,no,good,"own							E2011
",E2011
'00120,Punavuori,2h+k,kt,"70,60",530000,7507,1914,4/5,yes,average,"own							E2013
",E2013
'00120,Punavuori,"1h, alkovi, k, ...",kt,"50,00",355000,7100,1913,2/3,yes,average,"own							G2014
",G2014
'00120,Punavuori,2h+avok+kph+khh,kt,"47,20",463000,9809,1912,4/4,no,good,"own							
",
'00120,Kamppi,"2h, k, kph, eri...",kt,"59,00",455000,7712,1938,3/7,yes,average,"own							E2007
",E2007
'00120,Punavuori,2h+k,kt,"52,00",385000,7404,1962,5/6,yes,good,"own							E2007
",E2007
'00120,Punavuori,2h+k,kt,"50,00",294000,5880,1961,4/5,yes,average,"own							E2007
",E2007
'00120,Kamppi,2h+avok+kph+2 x...,kt,"70,00",587000,8386,1928,5/6,no,good,"own							
",
'00120,Punavuori,2h+avok+kph (yh...,kt,"35,00",272500,7786,1961,2/6,no,average,"own							
",
'00120,Punavuori,"2h, avok, kph",kt,"41,00",377000,9195,1936,3/5,yes,good,"own							
",
'00120,Kamppi,2h+avok+kph+s+p,kt,"77,00",822500,10682,1891,3/6,no,good,"own							
",
'00120,Punavuori,"2h, kk, kph/wc,...",kt,"44,50",348000,7820,1984,6/7,yes,good,"own							F2013
",F2013
'00120,4 rooms or more,,,,,,,,,,,
'00120,Kamppi,5h+k+kh+2wc,kt,"169,00",1365000,8077,1905,3/5,yes,average,"own							G2013
",G2013
'00120,Kamppi,"5h, avok, kph, ...",kt,"175,00",1435000,8200,1924,3/5,yes,good,"own							C2007
",C2007
'00120,Punavuori,4h+k+ph+k+2 kph...,kt,"101,50",750000,7389,1904,4/4,no,average,"own							G2013
",G2013
'00120,Punavuori,"Toimisto 149,0m...",kt,"197,00",700000,3553,1902,5/5,yes,average,"own							E2013
",E2013
'00120,Punavuori,"4h, k, kph, khh...",kt,"133,00",1040000,7820,1891,2/4,no,good,"own							D2013
",D2013
'00130,Studio apartment,,,,,,,,,,,
'00130,Ullanlinna,1-2h+k+kph,kt,"51,50",475000,9223,1907,4/6,yes,good,"own							
",
'00130,Katajanokka,1H+KT+ASUNTOTER...,kt,"27,50",303064,11020,1940,2/8,yes,good,"own							C2018
",C2018
'00130,Kaartinkaupunki,"1h, avok, kph",kt,"32,50",308000,9477,1882,3/4,yes,good,"own							
",
'00130,"
2 rooms
",,,,,,,,,,,
'00130,Kaartinkaupunki,"2h, avok, kph",kt,"55,00",485000,8818,1927,2/6,yes,good,"own							F2014
",F2014
'00130,Kaartinkaupunki,"1-2h, k, kph",kt,"46,00",406000,8826,1912,5/5,no,good,"own							D2013
",D2013
'00130,Katajanokka,2H+KT,kt,"41,00",447000,10902,1940,3/8,yes,good,"own							C2018
",C2018
'00130,Katajanokka,2H+KT,kt,"43,00",490578,11409,1940,5/8,yes,good,"own							C2018
",C2018
'00130,Kaartinkaupunki,1h+alkovi+avok+...,kt,"39,50",302000,7646,1907,1/5,no,good,"own							
",
'00130,3 rooms,,,,,,,,,,,
'00130,Ullanlinna,"3h, k, kph",kt,"59,60",500000,8389,1927,3/4,no,good,"own							E2013
",E2013
'00130,Kaartinkaupunki,2h+k+kph,kt,"79,00",651000,8241,1915,5/6,yes,average,"own							F2013
",F2013
'00130,Kaartinkaupunki,"3h, k, kph, p",kt,"86,00",650000,7558,1936,6/7,yes,poor,"own							G2013
",G2013
'00130,Kaartinkaupunki,3-4h+k,kt,"96,00",744000,7750,1907,2/6,no,good,"own							
",
'00130,4 rooms or more,,,,,,,,,,,
'00130,Kaartinkaupunki,4h+k+palvh (4h+...,kt,"115,40",886000,7678,1927,3/7,yes,average,"own							E2013
",E2013
'00130,Kaartinkaupunki,5 h+k,kt,"138,50",1040000,7509,1890,2/4,yes,good,"own							G2013
",G2013
'00130,Ullanlinna / kaartinkaupunki ,5h+k+halli+kph+...,kt,"138,50",1190000,8592,1912,2/5,yes,good,"own							G2013
",G2013
'00140,Studio apartment,,,,,,,,,,,
'00140,Ullanlinna,1h ja k,kt,"47,00",325000,6915,1933,3/4,yes,poor,"own							F2013
",F2013
'00140,Ullanlinna,1h+kph,kt,"29,00",299000,10310,1908,4/4,no,average,"own							G2013
",G2013
'00140,Ullanlinna,"1-2 h, kk, kh, ...",kt,"43,20",370000,8565,1907,3/5,no,average,"own							F2013
",F2013
'00140,Ullanlinna,"1h,kk,sh",kt,"24,00",238000,9917,1937,4/4,yes,good,"own							E2007
",E2007
'00140,Ullanlinna,"1h, kk, kph",kt,"31,00",325000,10484,1908,3/6,yes,good,"own							F2015
",F2015
'00140,Ullanlinna,"1h, avok, kph",kt,"27,00",272000,10074,1908,3/4,yes,average,"own							G2013
",G2013
'00140,Ullanlinna,"1h, kk, rt, kph",kt,"26,50",250000,9434,1978,2/7,yes,average,"own							E2013
",E2013
'00140,Ullanlinna,1h+kk,kt,"31,00",287000,9258,1908,2/6,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,"1h, avok",kt,"30,00",307461,10249,1908,1/6,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,"1h, kk, parvi, kph",kt,"24,50",221000,9020,1904,1/4,no,average,"own							G2008
",G2008
'00140,"
2 rooms
",,,,,,,,,,,
'00140,Ullanlinna,2 h+k+halli+kh,kt,"68,00",430000,6324,1941,3/4,yes,poor,"own							F2013
",F2013
'00140,Ullanlinna,"2h, avok, kph, ...",kt,"56,50",568000,10053,1978,3/5,yes,good,"own							E2007
",E2007
'00140,Ullanlinna,1h+alk+kph+rans...,kt,"50,00",440000,8800,1929,4/4,no,good,"own							F2013
",F2013
'00140,Kaivopuisto,2h+avokeitti_x0002_...,kt,"64,00",750000,11719,1934,1/4,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,"2h, k",kt,"70,50",615100,8725,1911,5/5,yes,average,"own							F2013
",F2013
'00140,Ullanlinna,2h+kk+parveke,kt,"36,00",375000,10417,1963,6/8,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,2h+k,kt,"48,00",400000,8333,1973,2/6,no,good,"own							F2007
",F2007
'00140,Ullanlinna,2h+k+kph,kt,"58,00",562000,9690,1906,3/3,no,good,"own							G2013
",G2013
'00140,Ullanlinna,2-3h+k+kph+vh,kt,"82,50",800000,9697,1911,3/5,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,"2h, avok, kh, p...",kt,"36,00",357000,9917,1963,3/8,yes,average,"own							F2013
",F2013
'00140,Ullanlinna,"2h, kk, kph, la...",kt,"38,00",385000,10132,1964,3/6,yes,good,"own							D2007
",D2007
'00140,Ullanlinna,2h+avok+khh+kph...,kt,"64,50",590000,9147,1927,2/4,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,2h+avokeitti_x0002_...,kt,"44,00",455000,10341,1907,4/5,no,good,"own							E2013
",E2013
'00140,Ullanlinna,"2h, kk, kph,ran...",kt,"46,00",401500,8728,1963,5/6,yes,average,"own							E2018
",E2018
'00140,Ullanlinna,"2h,k, parveke",kt,"50,00",465000,9300,1963,4/7,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,1h+k+kph,kt,"54,00",375000,6944,1928,1/4,yes,good,"own							G2013
",G2013
'00140,Ullanlinna,"3h ,k, terassi",kt,"56,00",565000,10089,1961,6/6,yes,good,"own							
",
'00140,Ullanlinna,"2h, avok., kph",kt,"57,50",513000,8922,1915,1/7,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,"1-2 h, avok, kp...",kt,"48,00",495012,10313,1910,6/8,yes,good,"own							G2013
",G2013
'00140,Ullanlinna,"2h, palv.h, alk...",kt,"77,00",610000,7922,1926,2/5,yes,average,"own							E2013
",E2013
'00140,Ullanlinna,"2h, avok, kph, ...",kt,"36,00",353000,9806,1963,7/8,yes,average,"own							F2015
",F2015
'00140,Ullanlinna,2h+k+kph,kt,"78,00",540000,6923,1970,2/7,yes,average,"own							F2013
",F2013
'00140,Ullanlinna,"2h, kk, kph",kt,"55,50",450578,8119,1906,3/4,yes,average,"own							F2013
",F2013
'00140,Ullanlinna,2h+k+halli,kt,"82,00",535000,6524,1929,1/6,yes,average,"own							F2016
",F2016
'00140,Ullanlinna,1-2h-kk-wc,kt,"41,20",335000,8131,1953,3/8,yes,good,"own							F2013
",F2013
'00140,Ullanlinna,2 h + kk,kt,"41,20",335000,8131,1953,3/8,yes,good,"own							
",
'00140,Ullanlinna,"2h, kk, kph, er...",kt,"47,50",362000,7621,1931,6/7,yes,average,"own							F2016
",F2016
'00140,Ullanlinna,"2h,k,kph,parveke",kt,"60,00",486000,8100,1937,2/6,yes,good,"own							E2013
",E2013
'00140,Ullanlinna,"2h, avok, kph",kt,"45,20",345000,7633,1904,1/2,no,good,"own							G2008
",G2008
'00140,Ullanlinna,"2h, avok, kph",kt,"42,00",435000,10357,1927,1/5,yes,good,"own							E2012
